Año;Código de subpartida;Subpartida de gasto;Procedimientos iniciados;Procedimientos adjudicados;Monto adjudicado en colones;Porcentaje
2020;20599;Otros bienes para la producción y comercialización;153;52;3934555434;0.35
2020;10999;Otros impuestos;2;2;497945;0
2020;20399;Otros materiales y productos de uso en la construcción y mantenimiento;7388;638;1720509650;0.15
2020;20199;Otros productos químicos y conexos;6351;1009;3687821915;0.33
2020;10299;Otros servicios básicos;344;97;32005092599;2.84
2020;10499;Otros servicios de gestión y apoyo;3812;1284;25751999678;2.28
2020;19999;Otros servicios no especificados;597;275;3162359445;0.28
2020;29999;Otros útiles, materiales y suministros diversos;4978;1082;9053856199;0.8
2020;59902;Piezas y obras de colección;60;12;42340684;0
2020;20202;Productos agroforestales;471;64;325716593;0.03
2020;29903;Productos de papel, cartón e impresos;6161;1062;7143795192;0.63
2020;20102;Productos farmacéuticos y medicinales;3401;917;32390159131;2.87
2020;20201;Productos pecuarios y otras especies;43;16;49941967;0
2020;20502;Productos terminados;4;4;425903430;0.04
2020;20103;Productos veterinarios;432;30;30192654;0
2020;10302;Publicidad y propaganda;1916;658;14168698614;1.26
2020;20402;Repuestos y accesorios;19127;3560;13597282147;1.21
2020;10601;Seguros;50;18;660632420;0.06
2020;59901;Semovientes;39;14;254691293;0.02
2020;10201;Servicio de agua y alcantarillado;8;4;7429000;0
2020;10203;Servicio de correo;65;29;366417679;0.03
2020;10202;Servicio de energía eléctrica;1;1;51600;0
2020;10204;Servicio de telecomunicaciones;237;96;6823990252;0.61
2020;10305;Servicios aduaneros;15;6;25521999;0
2020;10405;Servicios de desarrollo de sistemas informáticos //(2019) Servicios informáticos;404;265;9506393360;0.84
2020;10403;Servicios de ingeniería y arquitectura;1306;648;31348676252;2.78
2020;19901;Servicios de regulación;4;2;129101;0
2020;10307;Servicios de transferencia electrónica de información //(2019)Servicios de tecnologías de información;491;267;5834502216;0.52
2020;10404;Servicios en ciencias económicas y sociales;794;466;8586680898;0.76
2020;10406;Servicios generales;2489;995;235032000000;20.84
2020;10402;Servicios jurídicos;351;245;917156528;0.08
2020;10401;Servicios médicos y de laboratorio //(2019) Servicios en ciencias de la salud;786;239;15975945957;1.42
2020;50301;Terrenos;30;8;875375325;0.08
2020;29904;Textiles y vestuario;5654;985;3114337202;0.28
2020;20104;Tintas, pinturas y diluyentes;5413;788;965168808;0.09
2020;60501;Transferencias corrientes a empresas privadas;2;2;5286480;0
2020;10304;Transporte de bienes;309;99;472946079;0.04
2020;10501;Transporte dentro del país;738;339;757670425;0.07
2020;10503;Transporte en el exterior;217;133;319258651;0.03
2020;29907;Útiles y materiales de cocina y comedor;1753;163;214410958;0.02
2020;29905;Útiles y materiales de limpieza;8148;1051;2090357967;0.19
2020;29901;Útiles y materiales de oficina y cómputo;6893;595;870370084;0.08
2020;29906;Útiles y materiales de resguardo y seguridad;4141;899;5223984943;0.46
2020;29902;Útiles y materiales médico, hospitalario y de investigación;18146;1959;46616622182;4.13
2020;50202;Vías de comunicación terrestre;2683;498;45687838634;4.05
2020;50203;Vías férreas;10;6;1115903978;0.1
2020;10502;Viáticos dentro del país;82;21;19028856;0
2020;10504;Viáticos en el exterior;5;4;2105077;0
2021;10701;Actividades de capacitación;3479;2172;8562817683;1.14
2021;10702;Actividades protocolarias y sociales;1052;357;1027331440;0.14
2021;20204;Alimentos para animales;231;69;381197172;0.05
2021;20203;Alimentos y bebidas;4176;303;6517989147;0.87
2021;10101;Alquiler de edificios, locales y terrenos;291;194;5688502903;0.76
2021;10103;Alquiler de equipo de cómputo;514;124;5344993517;0.71
2021;10104;Alquiler de equipo y derechos para telecomunicaciones;310;87;1234425890;0.16
2021;10102;Alquiler de maquinaria, equipo y mobiliario;2481;932;8751279131;1.17
2021;60201;Becas a funcionarios;13;12;5370719;0
2021;59903;Bienes intangibles;2653;1158;49300873933;6.58
2021;20101;Combustibles y lubricantes;2762;1138;4134367166;0.55
